"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.8281,6,0.8113,0.9384,0.549,-0.045,0.912,0.98,0.9987,0.57,0.127,0.916,0.0187
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0,6,-0.0031,0.4976,-0.002,-0.58,0.577,0.98,0.9799,0.228,0.014,0.687,-1e-4
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.1118,6,0.1703,0.5972,0.085,-0.507,0.647,0.98,0.9865,0.262,0.02,0.723,0.0065
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",-0.5251,6,-0.5504,0.1904,-0.307,-0.798,0.305,0.98,0.9202,0.149,-0.301,0.591,-0.0598
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.1225,6,0.0651,0.5369,0.032,-0.552,0.605,0.98,0.9827,0.24,0.016,0.701,0.0027
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",0.6211,6,0.6283,0.8497,0.365,-0.247,0.831,0.98,0.9964,0.424,0.06,0.848,0.0164
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",0.4264,6,0.4242,0.7404,0.225,-0.383,0.747,0.98,0.9929,0.333,0.035,0.786,0.0129
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.239,6,0.2015,0.615,0.101,-0.493,0.659,0.98,0.98740000000000006,0.269,0.022,0.73,0.0074
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.1195,6,0.1056,0.5602,0.053,-0.535,0.621,0.98,0.9843,0.248,0.018,0.709,0.0043
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4781,6,-0.4684,0.2345,-0.252,-0.764,0.357,0.98,0.9376,0.16,-0.155,0.605,-0.0424
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",-0.0606,6,-0.0508,0.4702,-0.025,-0.599,0.558,0.98,0.9776,0.22,0.012,0.678,-0.0024
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.0645,6,0.0013,0.5002,0.001,-0.578,0.579,0.98,0.9801,0.228,0.014,0.688,1e-4
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.3032,6,0.3178,0.681,0.164,-0.438,0.704,0.98,0.9906,0.299,0.028,0.758,0.0106
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.3536,6,-0.3143,0.3199,-0.162,-0.703,0.44,0.98,0.9585,0.181,0.003,0.631,-0.0215
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.239,6,-0.2571,0.3522,-0.131,-0.681,0.468,0.98,0.9639,0.188,0.005,0.64,-0.0161
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.7385,6,-0.7348,0.0967,-0.461,-0.877,0.146,0.98,0.8399,0.116,-0.627,0.552,-0.1401
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",-0.0286,6,-0.0857,0.4501,-0.043,-0.613,0.543,0.98,0.9757,0.214,0.011,0.671,-0.0043
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.1429,6,0.0399,0.5224,0.02,-0.562,0.595,0.98,0.9817,0.235,0.015,0.695,0.0017
