"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.239,6,-0.2571,0.3522,-0.131,-0.681,0.468,0.694,0.5762,0.055,-0.534,0.437,-0.1178
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.7385,6,-0.7348,0.0967,-0.461,-0.877,0.146,0.694,0.2367,-0.326,-0.817,0.278,-0.4573
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",-0.0286,6,-0.0857,0.4501,-0.043,-0.613,0.543,0.8323,0.807,0.235,-0.414,0.497,-0.0253
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.1429,6,0.0399,0.5224,0.02,-0.562,0.595,0.8323,0.853,0.255,-0.366,0.51,0.0207
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4857,6,-0.4737,0.2317,-0.255,-0.767,0.354,0.8323,0.5817,0.109,-0.544,0.451,-0.2507
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.058,6,-0.0491,0.4711,-0.024,-0.599,0.559,0.8323,0.8215,0.241,-0.401,0.501,-0.0108
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0,6,-0.1333,0.4228,-0.067,-0.632,0.523,0.8323,0.7867,0.227,-0.43,0.493,-0.0456
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.3189,6,0.2998,0.6709,0.154,-0.447,0.697,0.8323,0.9202,0.29,-0.231,0.538,0.0879
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.5409,6,-0.4947,0.2203,-0.269,-0.775,0.341,0.8323,0.565,0.093,-0.552,0.448,-0.2673
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.4857,6,-0.4908,0.2224,-0.267,-0.774,0.344,0.8323,0.5681,0.096,-0.55,0.448,-0.2642
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.4119,6,-0.4223,0.2598,-0.224,-0.746,0.384,0.8323,0.6202,0.14,-0.526,0.459,-0.2122
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.7143,6,0.6703,0.8711,0.401,-0.211,0.849,0.585,0.8837,0.296,-0.178,0.789,0.2987
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.6,6,0.6208,0.8458,0.359,-0.253,0.828,0.585,0.8649,0.27,-0.205,0.759,0.2799
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.7714,6,0.8377,0.9499,0.585,0,0.924,0.585,0.946,0.463,-0.021,0.9,0.361
