"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,25,0.2863,0.1309,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,30,0.2321,0.1045,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,40,0.1514,0.0681,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,50,0.0986,0.0452,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,60,0.0645,0.0304,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,80,0.0282,0.0141,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,100,0.0126,0.0067,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,150,0.0019,0.0011,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,200,3e-4,2e-4,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,300,0,0,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,500,0,0,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,6,0.7649,0.5952,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,8,0.787,0.6239,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,10,0.8059,0.6488,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,12,0.8224,0.6706,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,15,0.8434,0.6989,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,20,0.8711,0.7375,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,25,0.8922,0.7686,,150
